DAY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
05-14,100.0,96.0,79.0,97.0,84.0,91.0,92.0,93.0,79.0,87.0,95.0,93.0,94.0,91.0
05-15,95.0,95.0,77.0,98.0,86.0,91.0,92.0,96.0,87.0,72.0,95.0,88.0,95.0,90.0
05-16,90.0,89.0,80.0,98.0,91.0,90.0,94.0,95.0,97.0,71.0,90.0,74.0,96.0,89.0
05-17,95.0,88.0,86.0,94.0,91.0,79.0,99.0,94.0,98.0,83.0,82.0,81.0,98.0,90.0
05-18,98.0,93.0,94.0,98.0,85.0,78.0,97.0,90.0,94.0,90.0,77.0,82.0,90.0,90.0
05-19,100.0,93.0,102.0,92.0,87.0,72.0,92.0,90.0,94.0,82.0,83.0,81.0,92.0,89.0
05-20,99.0,94.0,103.0,81.0,92.0,81.0,98.0,90.0,95.0,90.0,92.0,86.0,93.0,92.0
05-21,99.0,89.0,94.0,71.0,97.0,87.0,102.0,91.0,91.0,88.0,88.0,97.0,95.0,91.0
05-22,94.0,87.0,76.0,78.0,93.0,90.0,103.0,97.0,90.0,86.0,90.0,97.0,92.0,90.0
05-23,92.0,86.0,61.0,84.0,90.0,91.0,102.0,98.0,85.0,79.0,90.0,98.0,92.0,88.0
05-24,100.0,92.0,80.0,86.0,78.0,86.0,98.0,97.0,82.0,80.0,91.0,101.0,95.0,90.0
05-25,100.0,94.0,91.0,90.0,86.0,93.0,96.0,97.0,86.0,87.0,90.0,95.0,97.0,92.0
05-26,97.0,92.0,85.0,91.0,94.0,98.0,90.0,96.0,95.0,91.0,81.0,95.0,97.0,92.0
05-27,94.0,95.0,91.0,92.0,98.0,99.0,85.0,95.0,101.0,92.0,86.0,93.0,93.0,93.0
05-28,91.0,94.0,94.0,93.0,100.0,99.0,92.0,93.0,104.0,94.0,92.0,95.0,94.0,95.0
05-29,94.0,93.0,92.0,93.0,94.0,97.0,96.0,91.0,91.0,97.0,93.0,97.0,97.0,94.0
05-30,93.0,93.0,93.0,91.0,93.0,84.0,97.0,95.0,98.0,98.0,93.0,96.0,97.0,94.0
05-31,99.0,94.0,97.0,93.0,96.0,95.0,99.0,98.0,104.0,99.0,90.0,94.0,100.0,97.0
06-01,102.0,96.0,99.0,93.0,94.0,104.0,105.0,101.0,102.0,102.0,89.0,93.0,100.0,98.0
06-02,99.0,97.0,96.0,96.0,94.0,96.0,102.0,103.0,105.0,100.0,99.0,93.0,105.0,99.0
06-03,103.0,96.0,96.0,96.0,96.0,99.0,99.0,102.0,105.0,98.0,107.0,100.0,107.0,100.0
06-04,106.0,101.0,97.0,101.0,101.0,101.0,98.0,102.0,106.0,94.0,106.0,101.0,103.0,101.0
06-05,106.0,100.0,85.0,90.0,105.0,102.0,100.0,100.0,104.0,88.0,107.0,105.0,101.0,99.0
06-06,104.0,93.0,93.0,94.0,109.0,100.0,101.0,103.0,101.0,96.0,107.0,106.0,102.0,101.0
06-07,99.0,86.0,98.0,88.0,106.0,98.0,101.0,104.0,103.0,100.0,103.0,101.0,103.0,99.0
06-08,99.0,97.0,96.0,94.0,102.0,99.0,102.0,106.0,100.0,100.0,103.0,100.0,104.0,100.0
06-09,102.0,101.0,98.0,87.0,102.0,96.0,102.0,105.0,103.0,91.0,101.0,103.0,99.0,99.0
06-10,101.0,99.0,103.0,90.0,100.0,95.0,99.0,106.0,105.0,96.0,99.0,100.0,103.0,100.0
06-11,103.0,79.0,98.0,88.0,95.0,98.0,100.0,108.0,102.0,95.0,96.0,98.0,104.0,97.0
06-12,104.0,87.0,96.0,95.0,88.0,100.0,101.0,109.0,101.0,97.0,99.0,96.0,105.0,98.0
06-13,108.0,97.0,101.0,95.0,87.0,101.0,102.0,106.0,102.0,101.0,97.0,96.0,108.0,100.0
06-14,108.0,101.0,106.0,96.0,92.0,102.0,101.0,103.0,101.0,102.0,97.0,100.0,105.0,101.0
06-15,103.0,106.0,106.0,95.0,99.0,104.0,100.0,101.0,98.0,105.0,100.0,103.0,94.0,101.0
06-16,97.0,103.0,107.0,97.0,101.0,102.0,100.0,100.0,98.0,101.0,99.0,104.0,78.0,99.0
06-17,101.0,100.0,107.0,94.0,100.0,102.0,104.0,104.0,98.0,107.0,101.0,106.0,91.0,101.0
06-18,105.0,100.0,106.0,97.0,104.0,104.0,105.0,104.0,97.0,108.0,109.0,110.0,98.0,104.0
06-19,109.0,102.0,104.0,91.0,101.0,102.0,104.0,104.0,97.0,109.0,111.0,110.0,101.0,103.0
06-20,105.0,106.0,107.0,93.0,101.0,96.0,107.0,105.0,103.0,109.0,108.0,111.0,105.0,104.0
06-21,104.0,105.0,105.0,98.0,103.0,103.0,107.0,106.0,104.0,107.0,106.0,110.0,109.0,105.0
06-22,100.0,106.0,,100.0,102.0,108.0,108.0,102.0,102.0,107.0,108.0,111.0,106.0,105.0
06-23,103.0,104.0,103.0,100.0,106.0,107.0,106.0,102.0,102.0,107.0,101.0,111.0,104.0,104.0
06-24,103.0,103.0,104.0,98.0,103.0,106.0,105.0,102.0,103.0,102.0,102.0,109.0,101.0,103.0
06-25,101.0,104.0,98.0,92.0,100.0,108.0,104.0,101.0,102.0,101.0,100.0,103.0,103.0,101.0
06-26,95.0,107.0,98.0,99.0,101.0,107.0,106.0,104.0,104.0,106.0,99.0,102.0,106.0,103.0
06-27,95.0,105.0,100.0,97.0,102.0,111.0,106.0,109.0,100.0,103.0,99.0,106.0,109.0,103.0
06-28,96.0,104.0,102.0,91.0,101.0,111.0,107.0,106.0,103.0,99.0,101.0,104.0,105.0,102.0
06-29,99.0,105.0,98.0,99.0,97.0,106.0,108.0,106.0,104.0,100.0,100.0,103.0,100.0,102.0
06-30,101.0,106.0,96.0,100.0,98.0,102.0,109.0,108.0,105.0,102.0,84.0,104.0,98.0,101.0
07-01,102.0,109.0,98.0,96.0,98.0,105.0,107.0,100.0,107.0,100.0,78.0,106.0,101.0,101.0
07-02,100.0,108.0,105.0,97.0,100.0,106.0,105.0,98.0,104.0,103.0,93.0,105.0,103.0,102.0
07-03,100.0,109.0,99.0,96.0,102.0,104.0,99.0,94.0,100.0,96.0,99.0,104.0,103.0,100.0
07-04,101.0,107.0,99.0,100.0,98.0,102.0,90.0,100.0,96.0,96.0,103.0,105.0,102.0,100.0
07-05,94.0,100.0,101.0,104.0,99.0,103.0,94.0,101.0,96.0,91.0,104.0,107.0,103.0,100.0
07-06,96.0,95.0,100.0,103.0,102.0,102.0,98.0,102.0,92.0,97.0,100.0,107.0,100.0,100.0
07-07,90.0,99.0,89.0,101.0,102.0,104.0,94.0,105.0,99.0,97.0,97.0,105.0,100.0,99.0
07-08,97.0,101.0,93.0,103.0,97.0,103.0,95.0,102.0,97.0,98.0,102.0,104.0,102.0,100.0
07-09,101.0,102.0,87.0,103.0,98.0,103.0,98.0,102.0,96.0,90.0,105.0,103.0,94.0,99.0
07-10,103.0,100.0,84.0,108.0,99.0,100.0,96.0,100.0,99.0,86.0,105.0,104.0,88.0,98.0
07-11,106.0,97.0,85.0,107.0,94.0,92.0,100.0,94.0,100.0,97.0,104.0,97.0,89.0,97.0
07-12,105.0,98.0,90.0,106.0,101.0,96.0,99.0,97.0,100.0,99.0,104.0,103.0,92.0,99.0
07-13,108.0,101.0,88.0,107.0,106.0,100.0,101.0,100.0,99.0,97.0,104.0,103.0,95.0,101.0
07-14,108.0,99.0,85.0,106.0,100.0,98.0,98.0,102.0,96.0,95.0,106.0,98.0,90.0,99.0
07-15,102.0,100.0,95.0,100.0,106.0,99.0,94.0,100.0,93.0,94.0,108.0,97.0,92.0,98.0
07-16,100.0,103.0,100.0,103.0,98.0,106.0,93.0,83.0,99.0,95.0,104.0,93.0,95.0,98.0
07-17,100.0,103.0,102.0,102.0,104.0,105.0,97.0,90.0,99.0,85.0,102.0,93.0,98.0,98.0
07-18,108.0,105.0,102.0,105.0,102.0,101.0,102.0,86.0,99.0,94.0,99.0,95.0,101.0,100.0
07-19,99.0,103.0,96.0,107.0,103.0,96.0,99.0,92.0,101.0,92.0,101.0,94.0,104.0,99.0
07-20,105.0,99.0,91.0,105.0,104.0,100.0,96.0,95.0,101.0,98.0,98.0,91.0,105.0,99.0
07-21,107.0,93.0,92.0,96.0,99.0,100.0,92.0,91.0,101.0,100.0,103.0,92.0,103.0,98.0
07-22,106.0,91.0,92.0,100.0,91.0,101.0,95.0,95.0,107.0,96.0,103.0,94.0,106.0,98.0
07-23,103.0,91.0,95.0,99.0,93.0,99.0,99.0,98.0,100.0,92.0,106.0,94.0,112.0,99.0
07-24,105.0,96.0,100.0,97.0,93.0,95.0,91.0,94.0,103.0,99.0,103.0,89.0,107.0,98.0
07-25,104.0,90.0,99.0,98.0,89.0,96.0,99.0,90.0,104.0,102.0,101.0,92.0,110.0,98.0
07-26,99.0,95.0,95.0,104.0,90.0,95.0,104.0,93.0,105.0,103.0,102.0,97.0,108.0,99.0
07-27,88.0,89.0,93.0,108.0,92.0,101.0,99.0,90.0,102.0,101.0,105.0,97.0,99.0,97.0
07-28,83.0,83.0,96.0,107.0,94.0,103.0,90.0,99.0,93.0,99.0,103.0,93.0,99.0,96.0
07-29,83.0,90.0,99.0,103.0,93.0,96.0,95.0,100.0,98.0,97.0,103.0,93.0,103.0,96.0
07-30,83.0,94.0,104.0,102.0,90.0,98.0,97.0,103.0,102.0,94.0,99.0,89.0,103.0,97.0
07-31,78.0,90.0,106.0,103.0,87.0,99.0,94.0,101.0,96.0,98.0,97.0,96.0,100.0,96.0
08-01,88.0,93.0,103.0,106.0,88.0,97.0,97.0,87.0,93.0,96.0,94.0,90.0,105.0,95.0
08-02,93.0,89.0,104.0,102.0,94.0,104.0,99.0,96.0,87.0,98.0,89.0,92.0,103.0,96.0
08-03,92.0,90.0,99.0,106.0,98.0,102.0,98.0,100.0,90.0,103.0,93.0,93.0,105.0,98.0
08-04,81.0,91.0,94.0,106.0,101.0,102.0,99.0,101.0,92.0,105.0,93.0,94.0,105.0,97.0
08-05,93.0,90.0,96.0,104.0,102.0,101.0,102.0,93.0,96.0,107.0,95.0,96.0,107.0,99.0
08-06,92.0,80.0,99.0,99.0,98.0,97.0,104.0,90.0,98.0,100.0,99.0,96.0,109.0,97.0
08-07,94.0,88.0,100.0,102.0,90.0,100.0,106.0,94.0,93.0,93.0,100.0,97.0,105.0,97.0
08-08,98.0,93.0,94.0,98.0,92.0,102.0,104.0,98.0,97.0,92.0,102.0,97.0,100.0,97.0
08-09,94.0,97.0,94.0,100.0,96.0,101.0,107.0,100.0,100.0,98.0,90.0,99.0,90.0,97.0
08-10,95.0,93.0,97.0,102.0,99.0,100.0,105.0,96.0,95.0,98.0,94.0,99.0,92.0,97.0
08-11,92.0,98.0,99.0,102.0,101.0,99.0,104.0,95.0,97.0,99.0,95.0,99.0,94.0,98.0
08-12,90.0,101.0,99.0,102.0,102.0,95.0,107.0,97.0,93.0,102.0,101.0,93.0,94.0,98.0
08-13,91.0,101.0,98.0,79.0,103.0,96.0,104.0,99.0,92.0,104.0,96.0,93.0,99.0,97.0
08-14,90.0,99.0,91.0,97.0,104.0,94.0,101.0,100.0,88.0,105.0,94.0,95.0,100.0,97.0
08-15,87.0,98.0,97.0,99.0,105.0,95.0,102.0,100.0,94.0,109.0,98.0,95.0,95.0,98.0
08-16,84.0,99.0,93.0,100.0,90.0,95.0,93.0,103.0,99.0,104.0,100.0,93.0,94.0,96.0
08-17,91.0,100.0,95.0,102.0,99.0,100.0,89.0,106.0,99.0,104.0,99.0,95.0,97.0,98.0
08-18,92.0,98.0,98.0,104.0,96.0,100.0,96.0,102.0,98.0,103.0,99.0,99.0,101.0,99.0
