DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
02-27,51.0,65.0,53.0,67.0,64.0,57.0,34.0,56.0,50.0,61.0,55.0,71.0,44.0,52.0,56.0
02-28,55.0,57.0,39.0,69.0,66.0,45.0,52.0,42.0,57.0,61.0,53.0,73.0,48.0,46.0,54.0
03-01,55.0,59.0,48.0,68.0,74.0,54.0,60.0,53.0,67.0,50.0,48.0,73.0,52.0,54.0,58.0
03-02,57.0,60.0,50.0,48.0,75.0,57.0,64.0,47.0,72.0,53.0,48.0,72.0,61.0,59.0,59.0
03-03,53.0,60.0,50.0,52.0,68.0,57.0,63.0,60.0,62.0,61.0,47.0,71.0,63.0,58.0,59.0
03-04,55.0,56.0,61.0,61.0,64.0,51.0,62.0,68.0,62.0,62.0,52.0,72.0,62.0,47.0,60.0
03-05,49.0,64.0,66.0,55.0,61.0,56.0,64.0,68.0,63.0,65.0,59.0,66.0,55.0,54.0,60.0
03-06,50.0,62.0,66.0,54.0,54.0,59.0,64.0,64.0,64.0,65.0,65.0,62.0,53.0,62.0,60.0
03-07,62.0,58.0,66.0,62.0,51.0,43.0,52.0,42.0,61.0,65.0,65.0,51.0,65.0,60.0,57.0
03-08,67.0,47.0,69.0,61.0,57.0,46.0,54.0,59.0,50.0,61.0,67.0,60.0,73.0,68.0,60.0
03-09,69.0,47.0,71.0,59.0,53.0,41.0,66.0,59.0,39.0,66.0,66.0,64.0,76.0,67.0,60.0
03-10,71.0,42.0,72.0,63.0,61.0,44.0,72.0,62.0,56.0,67.0,69.0,72.0,74.0,59.0,63.0
03-11,70.0,34.0,70.0,68.0,61.0,50.0,70.0,61.0,64.0,64.0,69.0,68.0,75.0,59.0,63.0
03-12,70.0,35.0,74.0,71.0,57.0,62.0,68.0,65.0,70.0,63.0,63.0,55.0,75.0,61.0,64.0
03-13,66.0,42.0,77.0,69.0,58.0,59.0,70.0,66.0,73.0,61.0,69.0,61.0,77.0,67.0,65.0
03-14,50.0,59.0,78.0,62.0,59.0,56.0,68.0,67.0,78.0,59.0,70.0,62.0,79.0,64.0,65.0
03-15,49.0,58.0,80.0,54.0,60.0,59.0,71.0,70.0,77.0,64.0,72.0,66.0,76.0,47.0,64.0
03-16,54.0,59.0,81.0,38.0,68.0,67.0,72.0,70.0,73.0,69.0,73.0,69.0,74.0,55.0,66.0
03-17,58.0,59.0,82.0,48.0,73.0,71.0,68.0,61.0,72.0,68.0,71.0,71.0,77.0,53.0,67.0
03-18,50.0,48.0,75.0,63.0,74.0,67.0,66.0,45.0,69.0,60.0,63.0,72.0,76.0,50.0,63.0
03-19,46.0,41.0,72.0,65.0,74.0,64.0,61.0,35.0,69.0,65.0,55.0,73.0,77.0,56.0,61.0
03-20,52.0,41.0,68.0,67.0,72.0,58.0,59.0,44.0,66.0,67.0,68.0,75.0,77.0,64.0,63.0
03-21,55.0,42.0,60.0,68.0,69.0,69.0,53.0,62.0,71.0,66.0,71.0,73.0,73.0,67.0,64.0
03-22,58.0,52.0,54.0,68.0,63.0,68.0,48.0,71.0,66.0,66.0,69.0,62.0,63.0,70.0,63.0
03-23,51.0,61.0,48.0,68.0,53.0,57.0,58.0,67.0,57.0,68.0,69.0,58.0,49.0,65.0,59.0
03-24,47.0,67.0,55.0,73.0,59.0,61.0,57.0,69.0,64.0,71.0,67.0,65.0,65.0,60.0,63.0
03-25,51.0,65.0,66.0,71.0,63.0,63.0,56.0,65.0,66.0,68.0,70.0,69.0,60.0,58.0,64.0
03-26,51.0,65.0,68.0,69.0,61.0,58.0,56.0,60.0,68.0,60.0,73.0,67.0,63.0,57.0,63.0
03-27,62.0,61.0,58.0,70.0,56.0,58.0,63.0,68.0,67.0,57.0,78.0,68.0,61.0,58.0,63.0
03-28,58.0,57.0,47.0,68.0,65.0,66.0,64.0,70.0,67.0,63.0,78.0,60.0,62.0,67.0,64.0
03-29,54.0,51.0,51.0,65.0,62.0,70.0,68.0,69.0,71.0,71.0,77.0,48.0,69.0,71.0,64.0
03-30,54.0,56.0,57.0,61.0,54.0,70.0,72.0,73.0,68.0,63.0,77.0,48.0,67.0,73.0,64.0
03-31,54.0,59.0,70.0,63.0,63.0,62.0,80.0,72.0,72.0,63.0,76.0,55.0,43.0,76.0,65.0
04-01,65.0,58.0,73.0,65.0,64.0,52.0,82.0,55.0,66.0,58.0,71.0,63.0,57.0,73.0,64.0
04-02,68.0,67.0,73.0,65.0,66.0,56.0,76.0,55.0,66.0,51.0,67.0,67.0,66.0,71.0,65.0
04-03,67.0,72.0,74.0,61.0,58.0,61.0,67.0,65.0,70.0,56.0,67.0,73.0,64.0,72.0,66.0
04-04,57.0,69.0,77.0,67.0,53.0,64.0,68.0,69.0,73.0,61.0,70.0,74.0,58.0,71.0,66.0
04-05,64.0,58.0,77.0,66.0,61.0,60.0,74.0,68.0,72.0,58.0,68.0,76.0,67.0,77.0,68.0
04-06,73.0,56.0,76.0,67.0,70.0,56.0,65.0,66.0,72.0,65.0,66.0,80.0,74.0,74.0,69.0
04-07,75.0,67.0,74.0,66.0,73.0,59.0,62.0,73.0,71.0,73.0,63.0,76.0,71.0,79.0,70.0
04-08,62.0,71.0,67.0,65.0,58.0,69.0,48.0,76.0,57.0,78.0,59.0,62.0,66.0,78.0,65.0
04-09,46.0,70.0,70.0,58.0,62.0,70.0,39.0,75.0,51.0,80.0,66.0,63.0,62.0,77.0,64.0
04-10,57.0,63.0,70.0,59.0,60.0,68.0,51.0,76.0,59.0,79.0,68.0,52.0,68.0,83.0,65.0
04-11,63.0,64.0,68.0,67.0,43.0,70.0,63.0,58.0,67.0,77.0,70.0,59.0,71.0,79.0,66.0
04-12,71.0,75.0,59.0,71.0,63.0,61.0,65.0,57.0,71.0,72.0,74.0,63.0,75.0,66.0,67.0
04-13,73.0,77.0,63.0,78.0,69.0,60.0,65.0,56.0,73.0,71.0,77.0,69.0,73.0,56.0,69.0
04-14,74.0,73.0,67.0,79.0,66.0,66.0,63.0,38.0,70.0,67.0,73.0,69.0,70.0,69.0,67.0
04-15,74.0,63.0,59.0,74.0,50.0,74.0,71.0,56.0,65.0,71.0,63.0,62.0,73.0,73.0,66.0
04-16,76.0,67.0,55.0,63.0,47.0,74.0,79.0,66.0,61.0,75.0,54.0,61.0,75.0,68.0,66.0
04-17,73.0,66.0,69.0,64.0,60.0,74.0,78.0,75.0,53.0,77.0,61.0,63.0,74.0,62.0,68.0
04-18,69.0,65.0,66.0,74.0,70.0,75.0,72.0,76.0,59.0,66.0,73.0,66.0,75.0,68.0,70.0
04-19,60.0,71.0,64.0,71.0,76.0,71.0,71.0,78.0,68.0,69.0,72.0,73.0,73.0,62.0,70.0
04-20,61.0,75.0,58.0,65.0,80.0,70.0,72.0,81.0,74.0,76.0,74.0,77.0,74.0,63.0,71.0
04-21,69.0,74.0,59.0,67.0,81.0,55.0,72.0,85.0,78.0,79.0,71.0,78.0,77.0,75.0,73.0
04-22,69.0,72.0,60.0,73.0,81.0,43.0,72.0,86.0,78.0,75.0,67.0,77.0,80.0,77.0,72.0
04-23,72.0,60.0,53.0,69.0,76.0,53.0,66.0,86.0,71.0,70.0,66.0,68.0,78.0,80.0,69.0
04-24,54.0,65.0,69.0,71.0,71.0,68.0,68.0,80.0,72.0,74.0,61.0,72.0,71.0,82.0,70.0
04-25,58.0,71.0,75.0,72.0,62.0,74.0,73.0,77.0,66.0,71.0,55.0,56.0,68.0,82.0,69.0
04-26,63.0,71.0,74.0,75.0,64.0,76.0,68.0,66.0,75.0,56.0,57.0,62.0,73.0,84.0,69.0
04-27,64.0,62.0,81.0,71.0,67.0,76.0,70.0,72.0,78.0,62.0,71.0,65.0,73.0,82.0,71.0
04-28,52.0,66.0,87.0,77.0,70.0,70.0,76.0,75.0,83.0,69.0,75.0,52.0,65.0,79.0,71.0
04-29,59.0,74.0,82.0,79.0,73.0,53.0,71.0,76.0,85.0,66.0,78.0,61.0,62.0,71.0,71.0
04-30,66.0,78.0,80.0,71.0,77.0,53.0,59.0,79.0,82.0,67.0,81.0,55.0,72.0,66.0,70.0
05-01,69.0,80.0,73.0,65.0,79.0,60.0,61.0,72.0,79.0,74.0,82.0,57.0,76.0,60.0,70.0
05-02,69.0,78.0,75.0,67.0,72.0,56.0,67.0,72.0,72.0,80.0,80.0,66.0,80.0,50.0,70.0
05-03,70.0,75.0,70.0,73.0,77.0,71.0,76.0,75.0,78.0,83.0,75.0,74.0,82.0,68.0,75.0
05-04,76.0,71.0,66.0,74.0,78.0,78.0,81.0,76.0,76.0,82.0,60.0,81.0,85.0,76.0,76.0
05-05,72.0,70.0,52.0,72.0,77.0,77.0,81.0,76.0,70.0,77.0,67.0,76.0,87.0,83.0,74.0
05-06,58.0,73.0,67.0,63.0,85.0,75.0,83.0,71.0,65.0,64.0,68.0,63.0,76.0,87.0,71.0
05-07,62.0,78.0,73.0,72.0,86.0,76.0,80.0,72.0,64.0,61.0,65.0,58.0,59.0,84.0,71.0
05-08,68.0,78.0,77.0,73.0,87.0,78.0,73.0,75.0,65.0,67.0,55.0,53.0,68.0,91.0,72.0
05-09,69.0,77.0,82.0,75.0,85.0,74.0,61.0,78.0,66.0,71.0,57.0,69.0,50.0,89.0,72.0
05-10,60.0,82.0,86.0,79.0,84.0,66.0,56.0,82.0,75.0,74.0,69.0,74.0,57.0,87.0,74.0
05-11,64.0,84.0,86.0,78.0,84.0,57.0,68.0,81.0,78.0,60.0,76.0,79.0,78.0,78.0,75.0
05-12,70.0,85.0,89.0,74.0,82.0,66.0,79.0,84.0,83.0,69.0,71.0,84.0,78.0,69.0,77.0
05-13,75.0,84.0,85.0,56.0,83.0,68.0,81.0,88.0,85.0,68.0,71.0,85.0,75.0,71.0,77.0
05-14,77.0,89.0,83.0,73.0,83.0,70.0,76.0,85.0,85.0,76.0,64.0,82.0,71.0,75.0,78.0
05-15,83.0,87.0,87.0,74.0,85.0,75.0,74.0,86.0,82.0,85.0,50.0,75.0,66.0,78.0,78.0
05-16,78.0,82.0,83.0,75.0,89.0,79.0,67.0,86.0,80.0,86.0,60.0,74.0,61.0,81.0,77.0
05-17,72.0,85.0,81.0,86.0,89.0,74.0,63.0,86.0,76.0,87.0,69.0,67.0,64.0,79.0,77.0
05-18,77.0,85.0,84.0,89.0,87.0,68.0,54.0,78.0,75.0,82.0,68.0,67.0,65.0,77.0,75.0
05-19,86.0,86.0,83.0,93.0,87.0,79.0,61.0,81.0,78.0,79.0,68.0,76.0,69.0,81.0,79.0
05-20,87.0,86.0,84.0,92.0,76.0,81.0,71.0,87.0,74.0,74.0,72.0,76.0,76.0,79.0,80.0
05-21,90.0,83.0,77.0,73.0,75.0,80.0,77.0,90.0,81.0,73.0,70.0,70.0,82.0,75.0,78.0
05-22,92.0,68.0,74.0,59.0,63.0,71.0,75.0,90.0,81.0,73.0,60.0,71.0,84.0,74.0,74.0
05-23,91.0,80.0,73.0,54.0,75.0,61.0,71.0,84.0,79.0,71.0,64.0,71.0,87.0,78.0,74.0
05-24,87.0,88.0,79.0,50.0,78.0,63.0,73.0,80.0,80.0,71.0,67.0,70.0,88.0,83.0,76.0
05-25,86.0,85.0,82.0,66.0,79.0,74.0,93.0,74.0,80.0,81.0,72.0,70.0,81.0,82.0,79.0
05-26,89.0,81.0,81.0,64.0,77.0,76.0,81.0,63.0,78.0,87.0,76.0,69.0,76.0,75.0,77.0
05-27,85.0,73.0,82.0,74.0,77.0,78.0,83.0,71.0,79.0,90.0,75.0,75.0,80.0,77.0,78.0
05-28,79.0,70.0,83.0,72.0,79.0,80.0,81.0,82.0,78.0,88.0,81.0,79.0,83.0,82.0,80.0
05-29,79.0,75.0,83.0,74.0,78.0,78.0,71.0,82.0,81.0,80.0,84.0,80.0,86.0,87.0,80.0
05-30,76.0,81.0,85.0,79.0,74.0,81.0,72.0,86.0,83.0,86.0,87.0,78.0,84.0,85.0,81.0
05-31,82.0,87.0,84.0,84.0,80.0,81.0,82.0,92.0,89.0,89.0,91.0,84.0,80.0,81.0,85.0
06-01,82.0,89.0,90.0,86.0,82.0,78.0,80.0,94.0,91.0,88.0,86.0,90.0,81.0,85.0,86.0
06-02,79.0,92.0,84.0,82.0,83.0,81.0,77.0,88.0,90.0,92.0,84.0,93.0,86.0,88.0,86.0
06-03,76.0,93.0,89.0,81.0,86.0,84.0,77.0,87.0,87.0,89.0,80.0,96.0,91.0,93.0,86.0
06-04,79.0,93.0,93.0,76.0,84.0,89.0,83.0,84.0,87.0,89.0,83.0,98.0,91.0,93.0,87.0
06-05,78.0,94.0,87.0,75.0,75.0,94.0,86.0,82.0,90.0,89.0,75.0,97.0,90.0,87.0,86.0
06-06,75.0,90.0,71.0,83.0,71.0,97.0,78.0,84.0,94.0,91.0,76.0,94.0,92.0,86.0,84.0
06-07,76.0,86.0,76.0,82.0,74.0,91.0,79.0,86.0,95.0,88.0,84.0,89.0,89.0,85.0,84.0
06-08,77.0,85.0,80.0,84.0,73.0,90.0,77.0,86.0,96.0,92.0,90.0,92.0,86.0,90.0,86.0
06-09,74.0,84.0,85.0,89.0,73.0,86.0,85.0,85.0,95.0,92.0,76.0,88.0,87.0,89.0,85.0
06-10,77.0,85.0,84.0,88.0,74.0,83.0,85.0,85.0,91.0,91.0,79.0,84.0,81.0,88.0,84.0
06-11,74.0,87.0,76.0,84.0,74.0,74.0,82.0,87.0,92.0,86.0,82.0,86.0,79.0,91.0,82.0
06-12,79.0,85.0,81.0,84.0,76.0,64.0,83.0,91.0,94.0,89.0,85.0,83.0,74.0,94.0,83.0
06-13,86.0,90.0,90.0,90.0,76.0,74.0,84.0,89.0,91.0,89.0,87.0,81.0,83.0,93.0,86.0
06-14,88.0,87.0,93.0,93.0,76.0,82.0,91.0,86.0,90.0,85.0,91.0,83.0,90.0,91.0,88.0
06-15,86.0,81.0,95.0,93.0,77.0,85.0,91.0,85.0,87.0,82.0,94.0,82.0,92.0,82.0,87.0
06-16,84.0,84.0,92.0,93.0,74.0,83.0,86.0,90.0,91.0,85.0,94.0,83.0,95.0,69.0,86.0
06-17,81.0,91.0,88.0,93.0,77.0,85.0,85.0,94.0,88.0,83.0,95.0,87.0,95.0,78.0,87.0
06-18,81.0,95.0,89.0,93.0,81.0,87.0,85.0,93.0,89.0,82.0,95.0,95.0,101.0,84.0,89.0
06-19,90.0,90.0,90.0,95.0,84.0,84.0,82.0,91.0,88.0,87.0,95.0,101.0,100.0,90.0,90.0
06-20,93.0,90.0,92.0,97.0,79.0,85.0,87.0,95.0,86.0,91.0,97.0,103.0,101.0,96.0,92.0
06-21,93.0,90.0,93.0,97.0,81.0,85.0,93.0,94.0,86.0,91.0,94.0,98.0,101.0,97.0,92.0
06-22,91.0,92.0,94.0,93.0,88.0,86.0,98.0,91.0,88.0,89.0,95.0,95.0,99.0,97.0,93.0
06-23,86.0,96.0,93.0,93.0,89.0,93.0,93.0,91.0,86.0,88.0,96.0,95.0,100.0,91.0,92.0
06-24,86.0,95.0,90.0,92.0,92.0,93.0,92.0,92.0,82.0,88.0,96.0,92.0,100.0,89.0,91.0
06-25,85.0,95.0,92.0,88.0,86.0,89.0,93.0,90.0,87.0,88.0,98.0,94.0,98.0,94.0,91.0
06-26,84.0,90.0,93.0,88.0,86.0,87.0,94.0,91.0,95.0,85.0,97.0,96.0,96.0,95.0,91.0
06-27,87.0,88.0,92.0,89.0,92.0,91.0,97.0,93.0,97.0,88.0,97.0,92.0,92.0,95.0,92.0
06-28,84.0,88.0,92.0,94.0,93.0,92.0,95.0,94.0,103.0,91.0,92.0,93.0,89.0,90.0,92.0
06-29,89.0,87.0,93.0,94.0,93.0,93.0,91.0,95.0,101.0,92.0,94.0,89.0,91.0,85.0,92.0
06-30,92.0,90.0,95.0,94.0,95.0,89.0,88.0,93.0,100.0,94.0,92.0,81.0,94.0,88.0,92.0
07-01,92.0,91.0,97.0,95.0,87.0,94.0,96.0,94.0,97.0,98.0,86.0,85.0,94.0,91.0,93.0
07-02,90.0,88.0,98.0,96.0,79.0,93.0,98.0,92.0,93.0,95.0,90.0,85.0,90.0,93.0,91.0
07-03,88.0,86.0,101.0,96.0,80.0,86.0,94.0,86.0,96.0,94.0,89.0,88.0,92.0,88.0,90.0
07-04,90.0,81.0,103.0,90.0,87.0,85.0,89.0,75.0,94.0,86.0,85.0,90.0,96.0,89.0,89.0
07-05,91.0,75.0,100.0,87.0,91.0,89.0,88.0,85.0,91.0,82.0,83.0,90.0,99.0,99.0,89.0
07-06,91.0,78.0,96.0,87.0,91.0,89.0,86.0,89.0,87.0,83.0,84.0,89.0,99.0,93.0,89.0
07-07,90.0,77.0,96.0,90.0,88.0,92.0,89.0,93.0,94.0,87.0,84.0,90.0,98.0,94.0,90.0
07-08,89.0,82.0,96.0,97.0,89.0,87.0,87.0,96.0,96.0,83.0,85.0,91.0,95.0,91.0,90.0
07-09,88.0,86.0,95.0,91.0,91.0,89.0,90.0,96.0,96.0,83.0,80.0,93.0,92.0,87.0,90.0
07-10,89.0,89.0,92.0,90.0,93.0,90.0,81.0,98.0,92.0,83.0,80.0,93.0,89.0,82.0,89.0
07-11,93.0,91.0,90.0,73.0,94.0,93.0,83.0,91.0,82.0,88.0,82.0,90.0,87.0,83.0,87.0
07-12,100.0,90.0,94.0,82.0,92.0,92.0,85.0,87.0,82.0,93.0,88.0,90.0,89.0,79.0,89.0
07-13,100.0,94.0,96.0,82.0,96.0,94.0,84.0,79.0,86.0,92.0,89.0,93.0,92.0,83.0,90.0
07-14,97.0,97.0,95.0,75.0,94.0,94.0,84.0,75.0,87.0,86.0,88.0,94.0,96.0,84.0,89.0
07-15,97.0,96.0,95.0,83.0,92.0,97.0,85.0,80.0,91.0,76.0,86.0,95.0,94.0,83.0,89.0
07-16,99.0,91.0,92.0,88.0,93.0,92.0,91.0,83.0,81.0,88.0,91.0,91.0,91.0,88.0,90.0
07-17,101.0,92.0,91.0,91.0,100.0,94.0,94.0,84.0,88.0,91.0,87.0,92.0,88.0,89.0,92.0
07-18,100.0,91.0,92.0,91.0,96.0,97.0,92.0,87.0,87.0,91.0,81.0,85.0,85.0,86.0,90.0
07-19,97.0,90.0,93.0,91.0,94.0,90.0,85.0,88.0,89.0,89.0,78.0,85.0,82.0,88.0,88.0
07-20,96.0,87.0,91.0,77.0,93.0,92.0,91.0,90.0,86.0,88.0,81.0,84.0,82.0,88.0,88.0
07-21,96.0,97.0,85.0,82.0,88.0,91.0,92.0,88.0,78.0,90.0,85.0,92.0,84.0,85.0,88.0
07-22,92.0,95.0,82.0,88.0,90.0,85.0,89.0,89.0,83.0,94.0,85.0,93.0,90.0,92.0,89.0
07-23,87.0,94.0,79.0,91.0,88.0,84.0,90.0,84.0,83.0,96.0,84.0,95.0,84.0,96.0,88.0
07-24,82.0,97.0,79.0,104.0,86.0,87.0,93.0,81.0,88.0,90.0,86.0,93.0,77.0,96.0,88.0
07-25,82.0,95.0,78.0,91.0,88.0,93.0,85.0,88.0,86.0,89.0,90.0,92.0,80.0,93.0,88.0
07-26,83.0,84.0,81.0,86.0,92.0,86.0,87.0,89.0,82.0,92.0,91.0,92.0,87.0,96.0,88.0
07-27,87.0,85.0,79.0,87.0,96.0,87.0,90.0,90.0,83.0,88.0,87.0,99.0,89.0,92.0,88.0
07-28,91.0,84.0,86.0,89.0,96.0,84.0,93.0,87.0,87.0,85.0,90.0,100.0,88.0,91.0,89.0
07-29,86.0,83.0,84.0,92.0,91.0,77.0,91.0,85.0,86.0,89.0,86.0,101.0,85.0,91.0,88.0
07-30,85.0,79.0,82.0,93.0,91.0,82.0,87.0,82.0,89.0,91.0,83.0,92.0,83.0,92.0,86.0
07-31,85.0,81.0,82.0,96.0,91.0,73.0,86.0,84.0,90.0,89.0,86.0,89.0,89.0,92.0,87.0
08-01,82.0,82.0,79.0,97.0,94.0,70.0,87.0,82.0,88.0,89.0,84.0,86.0,89.0,91.0,86.0
08-02,84.0,82.0,85.0,94.0,94.0,75.0,91.0,88.0,87.0,84.0,88.0,80.0,85.0,89.0,86.0
08-03,81.0,86.0,85.0,88.0,96.0,85.0,93.0,88.0,89.0,76.0,91.0,77.0,81.0,88.0,86.0
08-04,83.0,76.0,90.0,82.0,95.0,92.0,93.0,89.0,88.0,82.0,92.0,80.0,84.0,91.0,87.0
