DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
04-29,61.0,76.0,82.0,84.0,81.0,66.0,78.0,78.0,87.0,63.0,79.0,66.0,61.0,77.0,74.0
04-30,70.0,82.0,85.0,78.0,84.0,57.0,58.0,81.0,86.0,67.0,84.0,63.0,72.0,75.0,74.0
05-01,74.0,78.0,79.0,62.0,86.0,62.0,59.0,80.0,80.0,72.0,84.0,53.0,80.0,70.0,73.0
05-02,72.0,85.0,76.0,63.0,77.0,53.0,66.0,81.0,71.0,79.0,81.0,65.0,83.0,57.0,72.0
05-03,69.0,81.0,77.0,76.0,84.0,73.0,76.0,83.0,76.0,87.0,75.0,74.0,80.0,68.0,77.0
05-04,76.0,80.0,72.0,81.0,81.0,84.0,82.0,85.0,82.0,85.0,66.0,85.0,87.0,76.0,80.0
05-05,80.0,74.0,55.0,80.0,84.0,83.0,82.0,81.0,77.0,83.0,67.0,86.0,92.0,85.0,79.0
05-06,67.0,79.0,63.0,73.0,89.0,81.0,86.0,80.0,71.0,75.0,75.0,72.0,87.0,88.0,78.0
05-07,69.0,81.0,69.0,81.0,92.0,75.0,86.0,75.0,74.0,65.0,73.0,64.0,76.0,88.0,76.0
05-08,75.0,85.0,76.0,78.0,91.0,84.0,81.0,76.0,70.0,68.0,67.0,65.0,72.0,93.0,77.0
05-09,77.0,84.0,81.0,77.0,89.0,81.0,68.0,77.0,72.0,77.0,56.0,77.0,59.0,95.0,76.0
05-10,73.0,79.0,87.0,78.0,91.0,75.0,64.0,84.0,76.0,80.0,71.0,79.0,64.0,93.0,78.0
05-11,68.0,84.0,89.0,84.0,91.0,66.0,65.0,86.0,76.0,63.0,79.0,80.0,78.0,87.0,78.0
05-12,74.0,89.0,92.0,80.0,88.0,64.0,77.0,86.0,83.0,65.0,77.0,84.0,86.0,80.0,80.0
05-13,77.0,92.0,90.0,57.0,89.0,68.0,81.0,86.0,87.0,67.0,77.0,90.0,83.0,80.0,80.0
05-14,79.0,92.0,88.0,69.0,89.0,73.0,81.0,82.0,90.0,73.0,76.0,87.0,80.0,82.0,82.0
05-15,83.0,92.0,88.0,72.0,86.0,77.0,82.0,90.0,87.0,80.0,63.0,82.0,77.0,88.0,82.0
05-16,84.0,87.0,85.0,76.0,90.0,81.0,77.0,88.0,87.0,89.0,64.0,79.0,68.0,88.0,82.0
05-17,77.0,89.0,81.0,83.0,92.0,81.0,71.0,91.0,82.0,90.0,73.0,73.0,72.0,86.0,82.0
05-18,84.0,90.0,84.0,90.0,90.0,74.0,63.0,84.0,79.0,84.0,77.0,65.0,65.0,82.0,79.0
05-19,90.0,91.0,85.0,96.0,87.0,81.0,65.0,83.0,82.0,85.0,75.0,78.0,65.0,86.0,82.0
05-20,97.0,90.0,83.0,95.0,80.0,85.0,68.0,88.0,75.0,83.0,78.0,82.0,74.0,86.0,83.0
05-21,96.0,89.0,81.0,78.0,76.0,86.0,77.0,94.0,85.0,80.0,78.0,79.0,83.0,86.0,83.0
05-22,98.0,81.0,79.0,60.0,68.0,81.0,82.0,94.0,87.0,83.0,73.0,77.0,83.0,83.0,81.0
05-23,96.0,80.0,66.0,61.0,64.0,74.0,79.0,91.0,88.0,76.0,69.0,80.0,84.0,86.0,78.0
05-24,92.0,90.0,78.0,61.0,76.0,68.0,75.0,86.0,87.0,72.0,69.0,78.0,93.0,92.0,80.0
05-25,90.0,92.0,87.0,79.0,76.0,78.0,82.0,84.0,87.0,74.0,72.0,79.0,88.0,91.0,83.0
05-26,91.0,88.0,87.0,73.0,79.0,84.0,85.0,70.0,85.0,85.0,80.0,73.0,84.0,87.0,82.0
05-27,90.0,82.0,88.0,83.0,79.0,88.0,92.0,73.0,83.0,92.0,79.0,78.0,83.0,84.0,84.0
05-28,83.0,76.0,87.0,83.0,83.0,90.0,89.0,82.0,81.0,92.0,86.0,83.0,87.0,87.0,85.0
05-29,84.0,81.0,87.0,81.0,84.0,82.0,79.0,89.0,85.0,80.0,87.0,86.0,88.0,89.0,84.0
05-30,82.0,84.0,87.0,85.0,79.0,84.0,73.0,89.0,89.0,88.0,90.0,82.0,85.0,92.0,85.0
05-31,82.0,89.0,90.0,93.0,78.0,88.0,89.0,92.0,89.0,93.0,94.0,87.0,83.0,91.0,88.0
06-01,87.0,96.0,91.0,95.0,84.0,86.0,92.0,98.0,88.0,93.0,94.0,90.0,89.0,90.0,91.0
06-02,80.0,96.0,88.0,90.0,87.0,86.0,85.0,94.0,95.0,97.0,90.0,94.0,88.0,96.0,90.0
06-03,79.0,94.0,93.0,88.0,88.0,89.0,85.0,95.0,92.0,95.0,89.0,98.0,92.0,97.0,91.0
06-04,78.0,98.0,94.0,81.0,90.0,96.0,90.0,94.0,92.0,95.0,87.0,97.0,96.0,100.0,92.0
06-05,85.0,98.0,90.0,77.0,85.0,99.0,93.0,90.0,94.0,95.0,71.0,101.0,95.0,96.0,91.0
06-06,83.0,101.0,79.0,89.0,80.0,101.0,88.0,92.0,97.0,95.0,78.0,100.0,99.0,93.0,91.0
06-07,82.0,89.0,76.0,89.0,79.0,99.0,89.0,93.0,96.0,94.0,86.0,96.0,96.0,94.0,90.0
06-08,85.0,84.0,87.0,86.0,78.0,98.0,87.0,94.0,103.0,94.0,90.0,96.0,96.0,97.0,91.0
06-09,82.0,72.0,90.0,88.0,79.0,96.0,86.0,91.0,101.0,90.0,84.0,99.0,94.0,97.0,89.0
06-10,78.0,,93.0,94.0,79.0,89.0,90.0,88.0,100.0,97.0,88.0,95.0,93.0,95.0,91.0
06-11,82.0,,74.0,88.0,80.0,81.0,89.0,93.0,97.0,91.0,87.0,89.0,88.0,98.0,87.0
06-12,83.0,94.0,85.0,89.0,82.0,76.0,91.0,95.0,100.0,94.0,87.0,91.0,84.0,100.0,89.0
06-13,86.0,98.0,92.0,89.0,84.0,78.0,90.0,96.0,96.0,93.0,87.0,86.0,84.0,97.0,90.0
06-14,95.0,94.0,95.0,98.0,83.0,81.0,91.0,93.0,96.0,89.0,89.0,91.0,93.0,98.0,92.0
06-15,93.0,88.0,99.0,99.0,83.0,92.0,99.0,91.0,96.0,90.0,95.0,90.0,98.0,92.0,93.0
06-16,92.0,84.0,99.0,99.0,83.0,90.0,94.0,94.0,95.0,89.0,97.0,91.0,98.0,71.0,91.0
06-17,89.0,92.0,93.0,98.0,81.0,93.0,92.0,96.0,95.0,88.0,98.0,94.0,102.0,84.0,92.0
06-18,90.0,99.0,94.0,97.0,85.0,93.0,91.0,97.0,96.0,87.0,100.0,98.0,101.0,91.0,94.0
06-19,95.0,99.0,97.0,98.0,87.0,93.0,89.0,97.0,94.0,90.0,98.0,103.0,105.0,92.0,96.0
06-20,97.0,97.0,98.0,97.0,84.0,93.0,85.0,99.0,94.0,96.0,101.0,106.0,105.0,96.0,96.0
06-21,96.0,95.0,100.0,99.0,89.0,93.0,91.0,104.0,93.0,95.0,101.0,102.0,106.0,104.0,98.0
06-22,93.0,97.0,99.0,99.0,93.0,95.0,98.0,101.0,93.0,95.0,100.0,102.0,105.0,102.0,98.0
06-23,87.0,99.0,98.0,97.0,93.0,98.0,99.0,99.0,93.0,96.0,100.0,100.0,101.0,101.0,97.0
06-24,90.0,99.0,96.0,97.0,93.0,101.0,99.0,97.0,89.0,94.0,98.0,98.0,103.0,97.0,96.0
06-25,91.0,99.0,98.0,94.0,89.0,93.0,98.0,92.0,95.0,94.0,99.0,98.0,98.0,99.0,96.0
06-26,92.0,96.0,98.0,86.0,88.0,94.0,99.0,96.0,98.0,93.0,103.0,100.0,97.0,102.0,96.0
06-27,92.0,91.0,97.0,91.0,91.0,95.0,101.0,91.0,102.0,92.0,103.0,98.0,99.0,102.0,96.0
06-28,96.0,93.0,97.0,99.0,95.0,95.0,100.0,95.0,105.0,96.0,98.0,98.0,98.0,100.0,98.0
06-29,94.0,95.0,98.0,98.0,97.0,92.0,99.0,100.0,104.0,99.0,99.0,95.0,98.0,94.0,97.0
06-30,98.0,97.0,101.0,94.0,97.0,89.0,94.0,99.0,103.0,101.0,103.0,83.0,98.0,94.0,96.0
07-01,98.0,96.0,102.0,97.0,95.0,93.0,99.0,99.0,100.0,101.0,99.0,79.0,101.0,96.0,97.0
07-02,98.0,93.0,103.0,99.0,88.0,98.0,102.0,97.0,99.0,97.0,96.0,84.0,98.0,99.0,96.0
07-03,96.0,92.0,102.0,99.0,89.0,94.0,98.0,95.0,97.0,98.0,96.0,94.0,98.0,94.0,96.0
07-04,99.0,90.0,104.0,98.0,91.0,91.0,94.0,87.0,99.0,92.0,83.0,96.0,100.0,95.0,94.0
07-05,98.0,87.0,101.0,93.0,96.0,90.0,96.0,90.0,93.0,91.0,87.0,97.0,103.0,98.0,94.0
07-06,98.0,91.0,99.0,91.0,98.0,93.0,95.0,91.0,86.0,92.0,90.0,96.0,103.0,97.0,94.0
07-07,97.0,83.0,100.0,94.0,94.0,93.0,93.0,96.0,98.0,89.0,90.0,97.0,104.0,98.0,95.0
07-08,97.0,84.0,103.0,98.0,95.0,92.0,89.0,93.0,99.0,93.0,92.0,98.0,99.0,100.0,95.0
07-09,97.0,89.0,103.0,92.0,96.0,92.0,93.0,97.0,101.0,92.0,77.0,100.0,99.0,96.0,95.0
07-10,97.0,93.0,99.0,96.0,98.0,93.0,86.0,97.0,99.0,93.0,89.0,97.0,96.0,89.0,94.0
07-11,97.0,97.0,89.0,89.0,100.0,93.0,84.0,96.0,94.0,93.0,89.0,96.0,90.0,89.0,93.0
07-12,102.0,97.0,96.0,87.0,96.0,93.0,84.0,93.0,93.0,97.0,93.0,97.0,94.0,89.0,94.0
07-13,104.0,99.0,101.0,87.0,95.0,99.0,91.0,95.0,93.0,96.0,92.0,99.0,98.0,94.0,96.0
07-14,103.0,101.0,98.0,80.0,93.0,94.0,91.0,81.0,95.0,91.0,86.0,101.0,100.0,90.0,93.0
07-15,103.0,100.0,100.0,88.0,98.0,100.0,93.0,84.0,93.0,92.0,85.0,102.0,101.0,88.0,95.0
07-16,103.0,98.0,99.0,94.0,100.0,101.0,99.0,87.0,82.0,86.0,89.0,100.0,98.0,94.0,95.0
07-17,103.0,97.0,93.0,95.0,104.0,100.0,94.0,90.0,86.0,97.0,92.0,97.0,98.0,91.0,96.0
07-18,105.0,93.0,95.0,97.0,100.0,103.0,94.0,93.0,90.0,98.0,89.0,91.0,94.0,96.0,96.0
07-19,103.0,95.0,100.0,98.0,99.0,101.0,90.0,91.0,94.0,95.0,84.0,88.0,91.0,99.0,95.0
07-20,102.0,95.0,89.0,91.0,92.0,96.0,93.0,94.0,94.0,95.0,87.0,93.0,93.0,97.0,94.0
07-21,104.0,103.0,96.0,90.0,91.0,92.0,96.0,91.0,88.0,97.0,91.0,91.0,90.0,97.0,94.0
07-22,98.0,98.0,87.0,88.0,93.0,83.0,97.0,93.0,88.0,99.0,93.0,99.0,92.0,100.0,93.0
07-23,94.0,98.0,76.0,95.0,95.0,90.0,94.0,91.0,91.0,96.0,93.0,100.0,91.0,100.0,93.0
07-24,92.0,101.0,87.0,96.0,92.0,88.0,100.0,78.0,93.0,98.0,86.0,97.0,79.0,99.0,92.0
07-25,89.0,98.0,91.0,96.0,95.0,90.0,94.0,90.0,91.0,98.0,92.0,97.0,90.0,97.0,93.0
07-26,91.0,99.0,92.0,87.0,90.0,87.0,84.0,96.0,95.0,98.0,96.0,94.0,93.0,100.0,93.0
07-27,94.0,101.0,89.0,86.0,93.0,92.0,91.0,91.0,85.0,95.0,94.0,102.0,93.0,99.0,93.0
07-28,95.0,91.0,89.0,92.0,99.0,88.0,92.0,91.0,92.0,88.0,94.0,104.0,88.0,98.0,93.0
07-29,97.0,92.0,91.0,96.0,94.0,90.0,91.0,91.0,93.0,95.0,90.0,102.0,85.0,98.0,93.0
07-30,96.0,83.0,88.0,98.0,87.0,89.0,91.0,93.0,94.0,98.0,87.0,94.0,86.0,102.0,92.0
07-31,92.0,88.0,90.0,99.0,95.0,84.0,90.0,85.0,96.0,91.0,88.0,92.0,88.0,101.0,91.0
08-01,90.0,88.0,89.0,100.0,94.0,84.0,85.0,88.0,86.0,92.0,86.0,93.0,93.0,97.0,90.0
08-02,91.0,87.0,87.0,98.0,96.0,82.0,94.0,93.0,81.0,90.0,93.0,90.0,94.0,94.0,91.0
08-03,89.0,89.0,85.0,95.0,97.0,87.0,95.0,93.0,87.0,80.0,95.0,86.0,92.0,94.0,90.0
