DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
05-16,89.0,94.0,91.0,85.0,96.0,87.0,68.0,93.0,89.0,93.0,69.0,80.0,70.0,88.0,85.0
05-17,78.0,93.0,89.0,93.0,97.0,82.0,69.0,96.0,81.0,92.0,76.0,72.0,69.0,85.0,84.0
05-18,85.0,96.0,92.0,98.0,97.0,74.0,61.0,84.0,84.0,88.0,78.0,81.0,70.0,85.0,84.0
05-19,91.0,95.0,93.0,102.0,93.0,83.0,70.0,87.0,85.0,85.0,78.0,86.0,76.0,88.0,87.0
05-20,95.0,93.0,90.0,98.0,90.0,87.0,79.0,93.0,79.0,80.0,80.0,85.0,84.0,86.0,87.0
05-21,98.0,92.0,83.0,79.0,89.0,88.0,83.0,96.0,87.0,76.0,78.0,74.0,92.0,82.0,86.0
05-22,99.0,73.0,80.0,64.0,82.0,76.0,83.0,96.0,89.0,78.0,66.0,75.0,93.0,80.0,81.0
05-23,99.0,83.0,78.0,64.0,86.0,62.0,78.0,91.0,85.0,79.0,75.0,78.0,95.0,84.0,81.0
05-24,95.0,92.0,83.0,57.0,88.0,66.0,79.0,88.0,86.0,78.0,76.0,74.0,98.0,88.0,82.0
05-25,94.0,94.0,89.0,68.0,87.0,76.0,88.0,82.0,86.0,89.0,82.0,77.0,91.0,88.0,85.0
05-26,97.0,90.0,89.0,70.0,89.0,81.0,86.0,66.0,85.0,94.0,85.0,78.0,84.0,77.0,84.0
05-27,93.0,78.0,90.0,78.0,88.0,83.0,88.0,76.0,86.0,98.0,87.0,85.0,87.0,82.0,86.0
05-28,90.0,73.0,91.0,78.0,92.0,78.0,87.0,85.0,86.0,96.0,91.0,87.0,93.0,89.0,87.0
05-29,88.0,81.0,89.0,79.0,87.0,81.0,69.0,88.0,87.0,93.0,94.0,86.0,95.0,91.0,86.0
05-30,84.0,86.0,91.0,84.0,85.0,89.0,74.0,92.0,91.0,93.0,95.0,90.0,95.0,92.0,89.0
05-31,90.0,93.0,91.0,88.0,90.0,90.0,87.0,99.0,93.0,95.0,98.0,94.0,90.0,89.0,92.0
06-01,90.0,96.0,95.0,92.0,90.0,86.0,86.0,102.0,97.0,92.0,93.0,97.0,87.0,89.0,92.0
06-02,88.0,100.0,90.0,88.0,91.0,87.0,79.0,97.0,97.0,97.0,91.0,100.0,94.0,96.0,92.0
06-03,83.0,99.0,96.0,89.0,94.0,90.0,84.0,95.0,96.0,94.0,87.0,102.0,99.0,99.0,93.0
06-04,87.0,101.0,98.0,83.0,94.0,94.0,90.0,92.0,94.0,94.0,88.0,108.0,98.0,100.0,94.0
06-05,87.0,100.0,95.0,79.0,77.0,100.0,92.0,85.0,97.0,96.0,85.0,105.0,98.0,96.0,92.0
06-06,82.0,96.0,75.0,90.0,76.0,101.0,80.0,86.0,102.0,97.0,84.0,99.0,98.0,94.0,90.0
06-07,81.0,89.0,77.0,87.0,80.0,98.0,86.0,91.0,105.0,97.0,91.0,99.0,97.0,94.0,91.0
06-08,85.0,94.0,85.0,88.0,81.0,97.0,82.0,93.0,103.0,99.0,97.0,99.0,94.0,97.0,92.0
06-09,81.0,93.0,90.0,95.0,82.0,94.0,90.0,91.0,100.0,98.0,83.0,98.0,94.0,97.0,92.0
06-10,86.0,92.0,91.0,97.0,81.0,90.0,92.0,89.0,99.0,99.0,85.0,91.0,92.0,92.0,91.0
06-11,86.0,94.0,89.0,85.0,82.0,81.0,89.0,93.0,96.0,92.0,87.0,94.0,86.0,97.0,89.0
06-12,88.0,95.0,88.0,90.0,82.0,76.0,90.0,96.0,98.0,97.0,94.0,91.0,76.0,100.0,90.0
06-13,95.0,98.0,97.0,95.0,83.0,80.0,89.0,95.0,95.0,95.0,94.0,88.0,86.0,101.0,92.0
06-14,96.0,87.0,101.0,99.0,83.0,89.0,98.0,94.0,96.0,89.0,97.0,91.0,96.0,100.0,94.0
06-15,97.0,89.0,101.0,101.0,84.0,93.0,98.0,91.0,96.0,91.0,99.0,90.0,99.0,94.0,94.0
06-16,93.0,90.0,97.0,101.0,76.0,91.0,95.0,95.0,96.0,92.0,99.0,90.0,101.0,84.0,93.0
06-17,89.0,98.0,94.0,101.0,85.0,92.0,90.0,100.0,96.0,90.0,102.0,93.0,104.0,88.0,94.0
06-18,89.0,100.0,96.0,99.0,89.0,93.0,92.0,99.0,96.0,86.0,100.0,98.0,108.0,89.0,95.0
06-19,97.0,98.0,97.0,101.0,92.0,92.0,88.0,97.0,93.0,92.0,101.0,105.0,111.0,96.0,97.0
06-20,103.0,97.0,97.0,104.0,90.0,92.0,89.0,101.0,93.0,95.0,104.0,110.0,112.0,103.0,99.0
06-21,103.0,98.0,98.0,104.0,89.0,91.0,99.0,100.0,94.0,98.0,98.0,104.0,109.0,104.0,99.0
06-22,102.0,99.0,101.0,102.0,95.0,93.0,103.0,97.0,94.0,97.0,101.0,103.0,106.0,104.0,100.0
06-23,99.0,104.0,98.0,100.0,99.0,98.0,102.0,98.0,94.0,96.0,101.0,103.0,107.0,100.0,100.0
06-24,98.0,102.0,97.0,100.0,100.0,100.0,98.0,97.0,89.0,96.0,103.0,100.0,110.0,96.0,99.0
06-25,93.0,103.0,97.0,98.0,85.0,99.0,98.0,98.0,93.0,97.0,104.0,99.0,108.0,100.0,98.0
06-26,92.0,98.0,101.0,98.0,92.0,95.0,98.0,97.0,96.0,89.0,104.0,106.0,102.0,101.0,98.0
06-27,96.0,97.0,99.0,97.0,100.0,101.0,101.0,99.0,101.0,93.0,102.0,102.0,100.0,101.0,99.0
06-28,91.0,93.0,99.0,100.0,104.0,102.0,103.0,101.0,110.0,99.0,100.0,101.0,98.0,100.0,100.0
06-29,97.0,100.0,99.0,103.0,103.0,101.0,98.0,100.0,111.0,99.0,102.0,101.0,99.0,94.0,100.0
06-30,101.0,99.0,101.0,103.0,102.0,103.0,93.0,99.0,109.0,101.0,102.0,97.0,102.0,95.0,100.0
07-01,102.0,99.0,103.0,104.0,97.0,102.0,104.0,100.0,103.0,103.0,94.0,90.0,102.0,99.0,100.0
07-02,99.0,99.0,103.0,104.0,91.0,100.0,108.0,99.0,101.0,101.0,98.0,92.0,99.0,99.0,100.0
07-03,99.0,93.0,105.0,104.0,96.0,94.0,100.0,95.0,105.0,99.0,100.0,97.0,97.0,99.0,99.0
07-04,100.0,91.0,109.0,100.0,95.0,91.0,95.0,81.0,101.0,91.0,92.0,99.0,102.0,99.0,96.0
07-05,98.0,89.0,109.0,98.0,99.0,95.0,98.0,91.0,99.0,93.0,97.0,99.0,104.0,102.0,98.0
07-06,99.0,95.0,104.0,98.0,101.0,95.0,93.0,97.0,99.0,92.0,93.0,96.0,107.0,105.0,98.0
07-07,100.0,92.0,104.0,100.0,98.0,98.0,97.0,99.0,103.0,97.0,96.0,96.0,110.0,105.0,100.0
07-08,97.0,96.0,100.0,107.0,97.0,98.0,98.0,103.0,103.0,98.0,96.0,99.0,107.0,102.0,100.0
07-09,98.0,96.0,98.0,100.0,98.0,101.0,97.0,105.0,101.0,90.0,90.0,100.0,98.0,99.0,98.0
07-10,98.0,98.0,96.0,99.0,100.0,102.0,95.0,106.0,93.0,84.0,88.0,98.0,100.0,90.0,96.0
07-11,101.0,100.0,97.0,83.0,100.0,102.0,93.0,102.0,83.0,94.0,92.0,97.0,99.0,85.0,95.0
07-12,106.0,99.0,99.0,83.0,104.0,100.0,93.0,92.0,94.0,100.0,98.0,99.0,101.0,82.0,96.0
07-13,110.0,102.0,99.0,91.0,102.0,100.0,92.0,78.0,97.0,101.0,99.0,99.0,102.0,94.0,98.0
07-14,107.0,104.0,98.0,90.0,102.0,102.0,91.0,90.0,98.0,91.0,98.0,100.0,104.0,96.0,98.0
07-15,106.0,107.0,99.0,95.0,101.0,107.0,91.0,87.0,100.0,91.0,97.0,102.0,105.0,94.0,99.0
07-16,109.0,103.0,103.0,97.0,102.0,105.0,94.0,91.0,96.0,95.0,98.0,99.0,99.0,98.0,99.0
07-17,112.0,97.0,101.0,100.0,107.0,103.0,100.0,91.0,96.0,98.0,97.0,94.0,98.0,99.0,100.0
07-18,111.0,97.0,102.0,100.0,106.0,103.0,97.0,94.0,102.0,97.0,91.0,98.0,96.0,98.0,99.0
07-19,105.0,98.0,102.0,97.0,105.0,103.0,100.0,93.0,97.0,91.0,86.0,98.0,84.0,99.0,97.0
07-20,101.0,98.0,96.0,82.0,100.0,102.0,100.0,98.0,90.0,97.0,87.0,99.0,96.0,99.0,96.0
07-21,103.0,104.0,95.0,92.0,96.0,101.0,100.0,98.0,82.0,97.0,92.0,103.0,97.0,86.0,96.0
07-22,102.0,102.0,89.0,95.0,98.0,96.0,97.0,95.0,89.0,100.0,94.0,105.0,101.0,96.0,97.0
07-23,92.0,103.0,92.0,97.0,94.0,98.0,98.0,96.0,94.0,103.0,93.0,104.0,98.0,103.0,98.0
07-24,88.0,104.0,87.0,99.0,88.0,96.0,95.0,96.0,99.0,104.0,94.0,99.0,85.0,107.0,96.0
07-25,95.0,105.0,86.0,100.0,95.0,103.0,95.0,98.0,99.0,100.0,97.0,100.0,79.0,107.0,97.0
07-26,95.0,95.0,90.0,93.0,102.0,99.0,94.0,99.0,94.0,96.0,98.0,103.0,94.0,104.0,97.0
07-27,100.0,93.0,87.0,95.0,105.0,95.0,97.0,99.0,93.0,94.0,95.0,105.0,99.0,105.0,97.0
07-28,99.0,95.0,95.0,96.0,105.0,95.0,98.0,99.0,88.0,92.0,99.0,108.0,96.0,100.0,98.0
07-29,100.0,91.0,94.0,98.0,100.0,95.0,98.0,91.0,95.0,97.0,96.0,105.0,97.0,99.0,97.0
07-30,97.0,92.0,94.0,99.0,99.0,92.0,97.0,79.0,97.0,99.0,96.0,93.0,94.0,103.0,95.0
07-31,96.0,92.0,90.0,102.0,99.0,89.0,87.0,81.0,100.0,102.0,98.0,95.0,96.0,97.0,95.0
08-01,95.0,90.0,80.0,105.0,101.0,88.0,95.0,84.0,99.0,96.0,85.0,90.0,101.0,102.0,94.0
08-02,95.0,90.0,89.0,100.0,100.0,92.0,97.0,94.0,98.0,89.0,97.0,93.0,97.0,101.0,95.0
08-03,93.0,93.0,95.0,97.0,101.0,98.0,103.0,96.0,98.0,81.0,99.0,93.0,88.0,97.0,95.0
08-04,95.0,91.0,97.0,91.0,99.0,102.0,101.0,94.0,100.0,85.0,100.0,90.0,94.0,101.0,96.0
